"JIRA project"	"Team"	"Product Owner"	"Dev Lead/Contact"	"First Release"	"Module"	"BE Framework"	"Tests repository"	"DB Usage"	"Kafka Usage"	"Platform(Eureka/OKAPI)"	"ECS(Central/Member/All)/NonECS/Both"	"Application"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/KAFKAWRAP"";""KAFKAWRAP"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Folijet+Team?src=contextnavpagetreemode"";""Folijet"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5af5ecdd29e02a573e5f1c10?ref=confluence"";""Ryan Taylor"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:06f9b6fb-9a52-481a-ad72-6e13fc570a8a?ref=confluence"";""Kateryna Senchenko"")"		"=HYPERLINK(""https://github.com/folio-org/folio-kafka-wrapper"";""folio-kafka-wrapper-util"")"	"Vert.x"			"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/LIQUTIL"";""LIQUTIL"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Folijet+Team?src=contextnavpagetreemode"";""Folijet"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5af5ecdd29e02a573e5f1c10?ref=confluence"";""Ryan Taylor"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:06f9b6fb-9a52-481a-ad72-6e13fc570a8a?ref=confluence"";""Kateryna Senchenko"")"		"=HYPERLINK(""https://github.com/folio-org/folio-liquibase-util"";""liquibase-util"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODAT"";""MODAT"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Core+Platform+team"";""Core Platform"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/62e181430b4bf7ad924b3732?ref=confluence"";""Steve Ellis"")"		"=HYPERLINK(""https://github.com/folio-org/mod-authtoken"";""mod-authtoken"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/MODBATPRNT/issues/?filter=allopenissues"";""MODBATPRNT"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Odin+%28Hebis%29+Team"";""Odin"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f80403de-e149-421e-8750-af45c853402f?ref=confluence"";""Charlotte Whitt"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5bffed5e2434bf3a1a91d37a?ref=confluence"";""Niels Erik Nielsen
Janis Saldabols"")"	"Quesnelia (R1 2024)"	"=HYPERLINK(""https://github.com/folio-org/mod-batch-print"";""mod-batch-print"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODEUR"";""MODEUR"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/pages/viewpage.action?pageId=1398566"";""Thor"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5c38e8d616ac1e4f7cbc660a?ref=confluence"";""Kurt Nordstrom"")"		"=HYPERLINK(""https://github.com/folio-org/mod-eusage-reports"";""mod-eusage-reports"")"	"Vert.x"		"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/MODEUSCNT"";""MODEUSCNT"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Leipzig+Team?src=contextnavpagetreemode"";""Leipzig"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/712020:30de3b82-83b2-49d2-b008-1258300814e0?ref=confluence"";""Stefan Dombek"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/712020:01a529b3-76ce-4980-a5f7-b606ed86635e?ref=confluence"";""Tino R."")"		"=HYPERLINK(""https://github.com/folio-org/mod-erm-usage-counter"";""mod-erm-usage-counter"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODHA"";""MODHA"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Sif+%28GBV%29+Team"";""Sif"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f80403de-e149-421e-8750-af45c853402f?ref=confluence"";""Charlotte Whitt"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5bffed5e2434bf3a1a91d37a?ref=confluence"";""Niels Erik Nielsen"")"		"mod-harvester"	"Vert.x"		"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODHAADM"";""MODHAADM"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Sif+%28GBV%29+Team"";""Sif"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f80403de-e149-421e-8750-af45c853402f?ref=confluence"";""Charlotte Whitt"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5bffed5e2434bf3a1a91d37a?ref=confluence"";""Niels Erik Nielsen"")"		"=HYPERLINK(""https://folio-org.atlassian.net/issues/?jql=project%20%3D%20MODHAADM"";""mod-harvester-admin"")"	"Vert.x"		"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODINV"";""MODINV"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Folijet+Team?src=contextnavpagetreemode"";""Folijet"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5af5ecdd29e02a573e5f1c10?ref=confluence"";""Ryan Taylor"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:06f9b6fb-9a52-481a-ad72-6e13fc570a8a?ref=confluence"";""Kateryna Senchenko"")"		"=HYPERLINK(""https://github.com/folio-org/mod-inventory"";""mod-inventory"")"	"Vert.x"		"Y"	"Y"
